booking_record_id,date,time,booking_id,booking_status,customer_id,vehicle_type,pickup_location,drop_location,avg_vtat,avg_ctat,cancelled_rides_by_customer,reason_for_cancelling_by_customer,cancelled_rides_by_driver,driver_cancellation_reason,incomplete_rides,incomplete_rides_reason,booking_value,ride_distance,driver_ratings,customer_rating,payment_method,booking_value_missing_unexpected,ride_distance_missing_unexpected,payment_method_missing_unexpected,customer_cancel_reason_missing,driver_cancel_reason_missing,incomplete_reason_missing,invalid_booking_status,invalid_booking_value,invalid_ride_distance,invalid_driver_rating,invalid_customer_rating,revenue_per_km,booking_value_outlier,ride_distance_outlier,avg_vtat_outlier,avg_ctat_outlier,revenue_per_km_outlier
25,2024-08-28,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,,,,,,,767.0,7.39,3.8,4.6,Debit Card,False,False,False,False,False,False,False,False,False,False,False,103.78890392422193,False,False,False,False,True
29,2024-04-05,18:57:12,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,,,,,1.0,Vehicle Breakdown,304.0,1.98,,,UPI,False,False,False,False,False,False,False,False,False,False,False,153.53535353535355,False,False,False,False,True
30,2024-11-03,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,,,,,,,2847.0,39.21,3.1,4.6,Debit Card,False,False,False,False,False,False,False,False,False,False,False,72.60902830910481,True,False,False,False,False
33,2024-02-04,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,,,,,,,656.0,6.39,5.0,4.9,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,102.660406885759,False,False,False,False,True
51,2024-05-04,21:26:59,"""CNR1572483""",Incomplete,"""CID6059557""",Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,,,,,1.0,Vehicle Breakdown,1581.0,1.82,,,Cash,False,False,False,False,False,False,False,False,False,False,False,868.6813186813187,True,False,False,False,True
81,2024-02-10,09:17:39,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,,,,,,,1390.0,21.79,5.0,4.9,UPI,False,False,False,False,False,False,False,False,False,False,False,63.790729692519506,True,False,False,False,False
92,2024-09-30,12:34:51,"""CNR7449144""",Completed,"""CID8609350""",Auto,IGNOU Road,Tis Hazari,8.6,32.7,,,,,,,2169.0,44.25,4.4,4.3,Uber Wallet,False,False,False,False,False,False,False,False,False,False,False,49.016949152542374,True,False,False,False,False
104,2024-04-26,15:45:51,"""CNR8433849""",Completed,"""CID7659765""",Bike,Mayur Vihar,IGNOU Road,10.8,40.0,,,,,,,768.0,5.97,4.3,4.8,Cash,False,False,False,False,False,False,False,False,False,False,False,128.64321608040203,False,False,False,False,True
110,2024-03-26,19:13:05,"""CNR7149058""",Completed,"""CID7341591""",Go Mini,Vinobapuri,Shastri Park,5.9,21.1,,,,,,,778.0,7.49,4.3,4.9,UPI,False,False,False,False,False,False,False,False,False,False,False,103.87182910547396,False,False,False,False,True
114,2024-06-24,18:46:34,"""CNR9935095""",Incomplete,"""CID7359331""",Uber XL,Kherki Daula Toll,Nawada,3.2,21.9,,,,,1.0,Other Issue,544.0,3.37,,,Cash,False,False,False,False,False,False,False,False,False,False,False,161.42433234421364,False,False,False,False,True
153,2024-06-02,21:27:23,"""CNR7409512""",Completed,"""CID5474366""",Auto,Karol Bagh,Palam Vihar,5.4,24.4,,,,,,,799.0,9.1,4.2,4.6,UPI,False,False,False,False,False,False,False,False,False,False,False,87.80219780219781,False,False,False,False,True
162,2024-02-15,19:11:02,"""CNR9048385""",Completed,"""CID5242973""",Go Sedan,India Gate,Kashmere Gate,4.5,43.1,,,,,,,992.0,8.23,5.0,4.6,UPI,False,False,False,False,False,False,False,False,False,False,False,120.53462940461725,False,False,False,False,True
189,2024-12-17,19:11:24,"""CNR1867567""",Incomplete,"""CID6010303""",Premier Sedan,Qutub Minar,Ghitorni,7.2,18.4,,,,,1.0,Customer Demand,635.0,6.57,,,UPI,False,False,False,False,False,False,False,False,False,False,False,96.65144596651446,False,False,False,False,True
213,2024-06-15,19:12:37,"""CNR5269641""",Completed,"""CID8225890""",Go Mini,IIT Delhi,Basai Dhankot,12.3,34.6,,,,,,,1543.0,49.71,4.4,5.0,Cash,False,False,False,False,False,False,False,False,False,False,False,31.040032186682758,True,False,False,False,False
224,2024-06-16,06:53:10,"""CNR1254363""",Completed,"""CID9092173""",Auto,Greater Kailash,Raj Nagar Extension,14.2,15.7,,,,,,,1444.0,15.43,4.2,3.1,Cash,False,False,False,False,False,False,False,False,False,False,False,93.58392741412833,True,False,False,False,True
236,2024-12-10,14:20:31,"""CNR9573367""",Completed,"""CID7080252""",Go Sedan,Mandi House,Rohini,4.2,18.9,,,,,,,682.0,3.05,4.7,4.3,UPI,False,False,False,False,False,False,False,False,False,False,False,223.6065573770492,False,False,False,False,True
273,2024-04-21,12:27:17,"""CNR5129655""",Completed,"""CID6449078""",Bike,India Gate,Shastri Nagar,5.2,34.9,,,,,,,770.0,6.82,4.3,4.8,UPI,False,False,False,False,False,False,False,False,False,False,False,112.9032258064516,False,False,False,False,True
283,2024-04-13,11:19:15,"""CNR1939605""",Completed,"""CID1229469""",Auto,Munirka,Pulbangash,13.6,40.4,,,,,,,491.0,4.19,3.8,3.9,Credit Card,False,False,False,False,False,False,False,False,False,False,False,117.18377088305488,False,False,False,False,True
287,2024-07-11,20:29:02,"""CNR1918341""",Completed,"""CID7417050""",Auto,Pitampura,Paschim Vihar,14.8,44.4,,,,,,,697.0,4.56,4.5,4.6,UPI,False,False,False,False,False,False,False,False,False,False,False,152.85087719298247,False,False,False,False,True
